service_id,date,exception_type
GUS1_Weekday_1_2101-GL_1111100,20210510,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210510,1
Local_Weekday_1_2104-PHNS_1111100,20210510,1
RAPID_Weekday_1_2104-PHNS_1111100,20210510,1
School_Weekday_1_2104-PHNS_1111100,20210510,1
Local_Weekday_1_2104-PHW_1111100,20210510,1
School_Weekday_1_2104-PHW_1111100,20210510,1
SC_Weekday_1_2104-SC_1111100,20210510,1
SKYT_7-days_1_SKYT_1111111,20210510,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210510,1
VMRU_Weekday_1_2104-VMRU_1111100,20210510,1
Express_Weekday_1_2104-VMTM_1111100,20210510,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210510,1
Local_Weekday_1_2104-VMTM_1111100,20210510,1
School_Weekday_1_2104-VMTM_1101100,20210510,1
School_Weekday_1_2104-VMTM_1111000,20210510,1
Express_Weekday_1_2104-VMW_1111100,20210510,1
Local_Weekday_1_2104-VMW_1111000,20210510,1
Local_Weekday_1_2104-VMW_1111100,20210510,1
GUS1_Weekday_1_2101-GL_1111100,20210511,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210511,1
Local_Weekday_1_2104-PHNS_1111100,20210511,1
RAPID_Weekday_1_2104-PHNS_1111100,20210511,1
School_Weekday_1_2104-PHNS_1111100,20210511,1
Local_Weekday_1_2104-PHW_1111100,20210511,1
School_Weekday_1_2104-PHW_1111100,20210511,1
SC_Weekday_1_2104-SC_1111100,20210511,1
SKYT_7-days_1_SKYT_1111111,20210511,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210511,1
VMRU_Weekday_1_2104-VMRU_1111100,20210511,1
Express_Weekday_1_2104-VMTM_1111100,20210511,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210511,1
Local_Weekday_1_2104-VMTM_1111100,20210511,1
School_Weekday_1_2104-VMTM_1101100,20210511,1
School_Weekday_1_2104-VMTM_1111000,20210511,1
Express_Weekday_1_2104-VMW_1111100,20210511,1
Local_Weekday_1_2104-VMW_1111000,20210511,1
Local_Weekday_1_2104-VMW_1111100,20210511,1
GUS1_Weekday_1_2101-GL_1111100,20210512,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210512,1
Local_Weekday_1_2104-PHNS_1111100,20210512,1
RAPID_Weekday_1_2104-PHNS_1111100,20210512,1
School_Weekday_1_2104-PHNS_1111100,20210512,1
Local_Weekday_1_2104-PHW_1111100,20210512,1
School_Weekday_1_2104-PHW_1111100,20210512,1
SC_Weekday_1_2104-SC_1111100,20210512,1
SKYT_7-days_1_SKYT_1111111,20210512,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210512,1
VMRU_Weekday_1_2104-VMRU_1111100,20210512,1
Express_Weekday_1_2104-VMTM_1111100,20210512,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210512,1
Local_Weekday_1_2104-VMTM_1111100,20210512,1
School_Weekday_1_2104-VMTM_0010000,20210512,1
School_Weekday_1_2104-VMTM_1111000,20210512,1
Express_Weekday_1_2104-VMW_1111100,20210512,1
Local_Weekday_1_2104-VMW_1111000,20210512,1
Local_Weekday_1_2104-VMW_1111100,20210512,1
GUS1_Weekday_1_2101-GL_1111100,20210513,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210513,1
Local_Weekday_1_2104-PHNS_1111100,20210513,1
RAPID_Weekday_1_2104-PHNS_1111100,20210513,1
School_Weekday_1_2104-PHNS_1111100,20210513,1
Local_Weekday_1_2104-PHW_1111100,20210513,1
School_Weekday_1_2104-PHW_1111100,20210513,1
SC_Weekday_1_2104-SC_1111100,20210513,1
SKYT_7-days_1_SKYT_1111111,20210513,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210513,1
VMRU_Weekday_1_2104-VMRU_1111100,20210513,1
Express_Weekday_1_2104-VMTM_1111100,20210513,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210513,1
Local_Weekday_1_2104-VMTM_1111100,20210513,1
School_Weekday_1_2104-VMTM_1101100,20210513,1
School_Weekday_1_2104-VMTM_1111000,20210513,1
Express_Weekday_1_2104-VMW_1111100,20210513,1
Local_Weekday_1_2104-VMW_1111000,20210513,1
Local_Weekday_1_2104-VMW_1111100,20210513,1
GUS1_Weekday_1_2101-GL_1111100,20210514,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210514,1
Local_Weekday_1_2104-PHNS_1111100,20210514,1
RAPID_Weekday_1_2104-PHNS_1111100,20210514,1
School_Weekday_1_2104-PHNS_1111100,20210514,1
Local_Weekday_1_2104-PHW_1111100,20210514,1
School_Weekday_1_2104-PHW_1111100,20210514,1
SC_Weekday_1_2104-SC_1111100,20210514,1
SKYT_7-days_1_SKYT_1111111,20210514,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210514,1
VMRU_Weekday_1_2104-VMRU_1111100,20210514,1
Express_Weekday_1_2104-VMTM_1111100,20210514,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210514,1
Local_Weekday_1_2104-VMTM_1111100,20210514,1
School_Weekday_1_2104-VMTM_0000100,20210514,1
School_Weekday_1_2104-VMTM_1101100,20210514,1
Express_Weekday_1_2104-VMW_1111100,20210514,1
Local_Weekday_1_2104-VMW_0000100,20210514,1
Local_Weekday_1_2104-VMW_1111100,20210514,1
GUS1_Saturday_1_2101-GL_0000010,20210515,1
Local_Saturday_1_2104-PHNS_0000010,20210515,1
Local_Saturday_1_2104-PHW_0000010,20210515,1
SKYT_7-days_1_SKYT_1111111,20210515,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210515,1
VMRU_Saturday_1_2104-VMRU_0000010,20210515,1
VMTM_Saturday_1_2104-VMTM_0000010,20210515,1
Local_Weekend_1_2104-VMW_0000011,20210515,1
GUS1_Sunday_1_2101-GL_0000001,20210516,1
Local_Sunday_1_2104-PHNS_0000001,20210516,1
Local_Sunday_1_2104-PHW_0000001,20210516,1
SKYT_7-days_1_SKYT_1111111,20210516,1
VMLR_Sunday_2_2101-VMLR_0000001,20210516,1
VMTM_Sunday_1_2104-VMTM_0000001,20210516,1
Local_Weekend_1_2104-VMW_0000011,20210516,1
GUS1_Weekday_1_2101-GL_1111100,20210517,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210517,1
Local_Weekday_1_2104-PHNS_1111100,20210517,1
RAPID_Weekday_1_2104-PHNS_1111100,20210517,1
School_Weekday_1_2104-PHNS_1111100,20210517,1
