route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
542,Express_Weekday_1_2104-VMTM_1111100,15309638,"Chandler PNR",1,,5420007,22957
531,Express_Weekday_1_2104-VMTM_1111100,15309639,"Downtown Gilbert",1,,5310009,22907
533,Express_Weekday_1_2104-VMTM_1111100,15309640,"Superstition Spgs",1,,5330009,22919
535,Express_Weekday_1_2104-VMTM_1111100,15309641,"Power Rd PNR",1,,5350007,22933
542,Express_Weekday_1_2104-VMTM_1111100,15309642,"Chandler PNR",1,,5420007,22951
531,Express_Weekday_1_2104-VMTM_1111100,15309643,"Downtown Gilbert",1,,5310009,22909
542,Express_Weekday_1_2104-VMTM_1111100,15309644,"Chandler PNR",1,,5420007,22954
541,Express_Weekday_1_2104-VMTM_1111100,15309648,"Arizona Ave+Ray",1,,5410007,22938
533,Express_Weekday_1_2104-VMTM_1111100,15309649,"Superstition Spgs",1,,5330009,22921
535,Express_Weekday_1_2104-VMTM_1111100,15309650,"Power Rd PNR",1,,5350007,22929
542,Express_Weekday_1_2104-VMTM_1111100,15309651,"Chandler PNR",1,,5420007,22955
535,Express_Weekday_1_2104-VMTM_1111100,15309652,"Power Rd PNR",1,,5350007,22931
542,Express_Weekday_1_2104-VMTM_1111100,15309653,"Chandler PNR",1,,5420007,22953
541,Express_Weekday_1_2104-VMTM_1111100,15309654,"Arizona Ave+Ray",1,,5410007,22941
514,Express_Weekday_1_2104-VMTM_1111100,15309655,"Fountain Hills PNR",1,,5140007,22879
531,Express_Weekday_1_2104-VMTM_1111100,15309656,"Downtown Gilbert",1,,5310009,22910
533,Express_Weekday_1_2104-VMTM_1111100,15309657,"Superstition Spgs",1,,5330009,22922
542,Express_Weekday_1_2104-VMTM_1111100,15309660,"Chandler PNR",1,,5420007,22956
541,Express_Weekday_1_2104-VMTM_1111100,15309661,"Arizona Ave+Ray",1,,5410007,22940
533,Express_Weekday_1_2104-VMTM_1111100,15309663,"Superstition Spgs",1,,5330009,22918
531,Express_Weekday_1_2104-VMTM_1111100,15309664,"Downtown Gilbert",1,,5310009,22906
535,Express_Weekday_1_2104-VMTM_1111100,15309665,"Power Rd PNR",1,,5350007,22930
533,Express_Weekday_1_2104-VMTM_1111100,15309666,"Superstition Spgs",1,,5330009,22923
541,Express_Weekday_1_2104-VMTM_1111100,15309668,"State Capitol",0,,5410008,22934
541,Express_Weekday_1_2104-VMTM_1111100,15309669,"State Capitol",0,,5410008,22937
541,Express_Weekday_1_2104-VMTM_1111100,15309670,"State Capitol",0,,5410008,22935
542,Express_Weekday_1_2104-VMTM_1111100,15309674,"State Capitol",0,,5420008,22946
542,Express_Weekday_1_2104-VMTM_1111100,15309675,"State Capitol",0,,5420008,22942
542,Express_Weekday_1_2104-VMTM_1111100,15309676,"State Capitol",0,,5420008,22944
542,Express_Weekday_1_2104-VMTM_1111100,15309677,"State Capitol",0,,5420008,22943
542,Express_Weekday_1_2104-VMTM_1111100,15309678,"State Capitol",0,,5420008,22948
542,Express_Weekday_1_2104-VMTM_1111100,15309679,"State Capitol",0,,5420008,22945
514,Express_Weekday_1_2104-VMTM_1111100,15309682,"State Capitol",0,,5140008,22876
531,Express_Weekday_1_2104-VMTM_1111100,15309683,"State Capitol",0,,5310008,22905
531,Express_Weekday_1_2104-VMTM_1111100,15309684,"State Capitol",0,,5310008,22904
531,Express_Weekday_1_2104-VMTM_1111100,15309685,"State Capitol",0,,5310008,22901
531,Express_Weekday_1_2104-VMTM_1111100,15309686,"State Capitol",0,,5310008,22903
535,Express_Weekday_1_2104-VMTM_1111100,15309687,"State Capitol",0,,5350008,22928
535,Express_Weekday_1_2104-VMTM_1111100,15309688,"State Capitol",0,,5350008,22924
535,Express_Weekday_1_2104-VMTM_1111100,15309689,"State Capitol",0,,5350008,22927
535,Express_Weekday_1_2104-VMTM_1111100,15309690,"State Capitol",0,,5350008,22925
533,Express_Weekday_1_2104-VMTM_1111100,15309691,"State Capitol",0,,5330010,22913
533,Express_Weekday_1_2104-VMTM_1111100,15309692,"State Capitol",0,,5330010,22914
533,Express_Weekday_1_2104-VMTM_1111100,15309693,"State Capitol",0,,5330010,22917
533,Express_Weekday_1_2104-VMTM_1111100,15309694,"State Capitol",0,,5330010,22915
533,Express_Weekday_1_2104-VMTM_1111100,15309695,"State Capitol",0,,5330010,22916
522,Express_Weekday_1_2104-VMTM_1111100,15456841,"State Capitol",0,,5220011,94695
522,Express_Weekday_1_2104-VMTM_1111100,15456842,"State Capitol",0,,5220011,94696
522,Express_Weekday_1_2104-VMTM_1111100,15456843,"State Capitol",0,,5220011,94697
522,Express_Weekday_1_2104-VMTM_1111100,15456844,"Tempe Sports Complex",1,,5220012,94698
522,Express_Weekday_1_2104-VMTM_1111100,15456845,"Tempe Sports Complex",1,,5220012,94699
522,Express_Weekday_1_2104-VMTM_1111100,15456846,"Tempe Sports Complex",1,,5220012,94700
521,Express_Weekday_1_2104-VMTM_1111100,15456970,"State Capitol",0,,5210007,94556
521,Express_Weekday_1_2104-VMTM_1111100,15456971,"Tempe Library PNR",1,,5210008,94693
521,Express_Weekday_1_2104-VMTM_1111100,15456972,"Tempe Library PNR",1,,5210008,94694
521,Express_Weekday_1_2104-VMTM_1111100,15456973,"State Capitol",0,,5210007,94557
571,Express_Weekday_1_2104-VMW_1111100,15348970,"Surprise PNR",1,,5710007,31901
571,Express_Weekday_1_2104-VMW_1111100,15348971,"Surprise PNR",1,,5710007,31900
573,Express_Weekday_1_2104-VMW_1111100,15348972,"State Capitol",0,,5730008,31904
573,Express_Weekday_1_2104-VMW_1111100,15348973,"State Capitol",0,,5730008,31903
573,Express_Weekday_1_2104-VMW_1111100,15348974,"Foothills Rec Ctr",1,,5730007,31908
573,Express_Weekday_1_2104-VMW_1111100,15348975,"Foothills Rec Ctr",1,,5730007,31907
575,Express_Weekday_1_2104-VMW_1111100,15348976,"State Capitol",0,,5750007,31912
575,Express_Weekday_1_2104-VMW_1111100,15348977,"State Capitol",0,,5750007,31911
575,Express_Weekday_1_2104-VMW_1111100,15348978,"Arrowhead Ctr",1,,5750008,31914
575,Express_Weekday_1_2104-VMW_1111100,15348979,"Arrowhead Ctr",1,,5750008,31913
571,Express_Weekday_1_2104-VMW_1111100,15348980,"State Capitol",0,,5710002,31895
571,Express_Weekday_1_2104-VMW_1111100,15348981,"State Capitol",0,,5710002,31894
562,Express_Weekday_1_2104-VMW_1111100,15348982,"State Capitol",0,,5620001,31878
562,Express_Weekday_1_2104-VMW_1111100,15348983,"Goodyear PNR",1,,5620008,31882
562,Express_Weekday_1_2104-VMW_1111100,15348984,"Goodyear PNR",1,,5620008,31883
562,Express_Weekday_1_2104-VMW_1111100,15348985,"State Capitol",0,,5620001,31879
563,Express_Weekday_1_2104-VMW_1111100,15348986,"State Capitol",0,,5630013,31886
563,Express_Weekday_1_2104-VMW_1111100,15348987,"State Capitol",0,,5630013,31887
563,Express_Weekday_1_2104-VMW_1111100,15348988,"State Capitol",0,,5630004,31888
563,Express_Weekday_1_2104-VMW_1111100,15348989,"Buckeye PNR",1,,5630014,31890
563,Express_Weekday_1_2104-VMW_1111100,15348990,"Buckeye PNR",1,,5630014,31892
563,Express_Weekday_1_2104-VMW_1111100,15348991,"Avondale PNR",1,,5630012,31893
562,Express_Weekday_1_2104-VMW_1111100,15348992,"State Capitol",0,,5620001,31880
562,Express_Weekday_1_2104-VMW_1111100,15348993,"Goodyear PNR",1,,5620008,31885
563,Express_Weekday_1_2104-VMW_1111100,15348994,"State Capitol",0,,5630004,31889
563,Express_Weekday_1_2104-VMW_1111100,15348995,"Avondale PNR",1,,5630012,31891
571,Express_Weekday_1_2104-VMW_1111100,15348996,"State Capitol",0,,5710002,31897
571,Express_Weekday_1_2104-VMW_1111100,15348997,"Surprise PNR",1,,5710007,31899
573,Express_Weekday_1_2104-VMW_1111100,15348998,"State Capitol",0,,5730008,31902
573,Express_Weekday_1_2104-VMW_1111100,15348999,"Foothills Rec Ctr",1,,5730007,31909
575,Express_Weekday_1_2104-VMW_1111100,15349000,"State Capitol",0,,5750007,31910
575,Express_Weekday_1_2104-VMW_1111100,15349001,"Arrowhead Ctr",1,,5750008,31915
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312974,"Lot 59/Downtown Tempe",0,,FLSH0001,90254
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312975,"Lot 59/Downtown Tempe",0,,FLSH0001,90255
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312976,"Lot 59/Downtown Tempe",0,,FLSH0001,90256
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312977,"Lot 59/Downtown Tempe",0,,FLSH0001,90257
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312978,"Lot 59/Downtown Tempe",0,,FLSH0001,90258
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312979,"Lot 59/Downtown Tempe",0,,FLSH0001,90259
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312980,"Lot 59/Downtown Tempe",0,,FLSH0001,90260
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312981,"Lot 59/Downtown Tempe",0,,FLSH0001,90261
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312982,"Lot 59/Downtown Tempe",0,,FLSH0001,90262
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312983,"Lot 59/Downtown Tempe",0,,FLSH0001,90263
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312984,"Lot 59/Downtown Tempe",0,,FLSH0001,90264
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312985,"Lot 59/Downtown Tempe",0,,FLSH0001,90265
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312986,"Lot 59/Downtown Tempe",0,,FLSH0001,90266
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312987,"Lot 59/Downtown Tempe",0,,FLSH0001,90267
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312988,"Lot 59/Downtown Tempe",0,,FLSH0001,90268
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312989,"Lot 59/Downtown Tempe",0,,FLSH0001,90269
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312990,"Lot 59/Downtown Tempe",0,,FLSH0001,90270
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312991,"Lot 59/Downtown Tempe",0,,FLSH0001,90271
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312992,"Lot 59/Downtown Tempe",0,,FLSH0001,90272
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312993,"Lot 59/Downtown Tempe",0,,FLSH0001,90273
FLSH,FLASH-C_Weekday_1_2104-VMTM_1111111,15312994,"Lot 59/Downtown Tempe",0,,FLSH0001,90274
